站點唯一 ID,站點 ID,站名,站點地址,經度,緯度
THB301730,301730,虎尾寮,嘉義縣民雄鄉建國路一段986號對面,120.438685,23.576788
THB301731,301731,頂崙村,嘉義縣民雄鄉建國路一段480號對面,120.434655,23.56445
THB301732,301732,民雄,嘉義縣民雄鄉建國路一段77號同向,120.433641,23.556037
THB301733,301733,協志工商,嘉義縣民雄鄉建國路2段299之3號對向,120.433477,23.548965
THB301734,301734,民雄稅捐處,嘉義縣民雄鄉台一線建國路民雄稅捐處前,120.433215,23.542678
THB301736,301736,雙福村,嘉義縣民雄鄉台一線雙福村路口旁,120.434376,23.54006
THB301881,301881,臺北車站(鄭州),臺北市中正區北平西路3號(北一門),121.517615,25.04836
THB301883,301883,民族重慶路口,臺北市大同區重慶北路公車專用道,121.513826,25.068401
THB301885,301885,安和二街,基隆市安樂區麥金路與安和二街口往南60公尺,121.720245,25.129076
THB301886,301886,綠世界生態農場,新竹縣北埔鄉中豐路北埔幹69電桿,121.070452,24.712418
THB301899,301899,中壢服務區,桃園市中壢區內定里下內壢85-13號,121.25224,25.00214
THB301900,301900,中壢服務區,桃園市中壢區內定里下內壢85-13號,121.25254,25.00428
THB301911,301911,雲品酒店,南投縣魚池鄉中正路23號,120.9240231,23.8712085
THB301912,301912,雲品酒店,南投縣魚池鄉中正路23號對面,120.924128,23.871393
THB301913,301913,中台世界博物館,南投縣埔里鎮永豐路20之2號,120.95072,24.01546
THB301914,301914,中台世界博物館,南投縣埔里鎮永豐路20之2號,120.950683,24.0155
THB301916,301916,臺中車站(復興路),台中市東區復興路四段132號,120.6863,24.135795
THB301920,301920,鹿基醫院,彰化縣鹿港鎮埔崙里中正路480號北20公尺,120.43797,24.0604
THB301921,301921,鹿基醫院,彰化縣鹿港鎮埔崙里中正路480號  對面,120.437818,24.060452
THB301924,301924,派出所,新竹縣五峰鄉20號,121.109006,24.596483
THB301925,301925,派出所,新竹縣五峰鄉20號對面,121.1091153,24.59642568
THB301928,301928,魚寮,彰化縣大城鄉魚寮路8之1號,120.33158,23.86631
THB301929,301929,民族停車場,嘉義市東區垂楊路223號對面,120.454788,23.474202
THB301930,301930,裕田診所,南投縣民生路15號,120.85893,23.80815
THB301931,301931,裕田診所,南投縣民生路15號斜對面,120.858593,23.808346
THB301932,301932,石棹,嘉義縣竹崎鄉台18線63.7K中和村石棹22-18號(現場站牌迭失),120.69733,23.47311
THB301933,301933,青年活動中心,嘉義縣阿里山鄉台18線85.8K,120.79355,23.50027
THB301935,301935,頂六國小,嘉義縣中埔鄉頂中下街28號前,120.49433,23.44599
THB301936,301936,台灣酒窖,彰化縣二林鎮斗苑路二段915號,120.408278,23.89783
THB301937,301937,台灣酒窖,彰化縣二林鎮斗苑路二段915號對面,120.4078639,23.8980227
THB301938,301938,苗栗農工,苗栗縣苗栗市經國路二段491號,120.8338,24.55633
THB301939,301939,觸口遊客中心,嘉義縣番路鄉觸口村,120.58388,23.44591
THB301969,301969,中山正光路口,桃園市桃園區中山路690號,121.294461,24.991154
THB301970,301970,成功分院,臺東縣成功鎮中山東路32號與36號間,121.378186,23.099595
THB301971,301971,成功分院,台東縣成功鎮中山東路47號,121.377927,23.099546
THB302015,302015,藤湖,南投縣竹山鎮集山路二段676之2號,120.71184,23.780119
THB302016,302016,藤湖,南投縣竹山鎮集山路二段711號,120.712182,23.779672
THB302020,302020,吳鳳科大校內,吳鳳科技大學活動中心旁,120.43611,23.53579
THB302022,302022,彰化縣原住民生活館,彰化縣彰化市中庄里359號,120.5597107,24.08658
